Wavenumber,Reflectivity,,,,Wavelength um,Ref decimal,,new column for sorting,Wavelength,ref
1000.916,5.30636,,,,9.990848383,0.0530636,,,2.721915009,0.0501775
1002.845,5.41667,,,,9.971630711,0.0541667,,,2.723344921,0.0500217
1004.774,5.48583,,,,9.952486828,0.0548583,,,2.724775594,0.0501444
1006.702,5.51955,,,,9.933426178,0.0551955,,,2.726208515,0.049594
1008.631,5.5488,,,,9.914428567,0.055488,,,2.727642199,0.0490645
1010.559,5.56616,,,,9.895513275,0.0556616,,,2.729078137,0.0488412
1012.488,5.5686,,,,9.876660267,0.055686,,,2.730514841,0.0487717
1014.416,5.56618,,,,9.857888677,0.0556618,,,2.731953806,0.0487395
1016.345,5.56725,,,,9.839178625,0.0556725,,,2.733393541,0.0488257
1018.273,5.55958,,,,9.820549106,0.0555958,,,2.734835542,0.0490924
1020.202,5.54068,,,,9.801980392,0.0554068,,,2.736279065,0.0490339
1022.13,5.51824,,,,9.783491337,0.0551824,,,2.737723364,0.0491067
1024.059,5.47748,,,,9.765062365,0.0547748,,,2.739169938,0.0496747
1025.988,5.43262,,,,9.74670269,0.0543262,,,2.740617291,0.0498725
1027.916,5.39335,,,,9.728421389,0.0539335,,,2.742066926,0.0494851
1029.845,5.34933,,,,9.710199108,0.0534933,,,2.743517343,0.0491145
1031.773,5.29984,,,,9.692054357,0.0529984,,,2.744970048,0.0489932
1033.702,5.24685,,,,9.673967933,0.0524685,,,2.746423539,0.0489753
1035.63,5.19735,,,,9.655958209,0.0519735,,,2.747879324,0.0492195
1037.559,5.15413,,,,9.638006128,0.0515413,,,2.749336654,0.0495085
1039.487,5.1212,,,,9.620129929,0.051212,,,2.750794773,0.0497963
1041.416,5.09664,,,,9.6023107,0.0509664,,,2.75225444,0.0500352
1043.344,5.08276,,,,9.584566548,0.0508276,,,2.753716416,0.0503102
1045.273,5.08755,,,,9.566878701,0.0508755,,,2.755179945,0.0508677
1047.202,5.1063,,,,9.549256017,0.051063,,,2.756644271,0.0506439
1049.13,5.11486,,,,9.531707224,0.0511486,,,2.758110915,0.0500774
1051.059,5.13862,,,,9.51421376,0.0513862,,,2.759578359,0.0498267
1052.987,5.20494,,,,9.496793408,0.0520494,,,2.761048127,0.0498855
1054.916,5.2786,,,,9.479427746,0.052786,,,2.762518699,0.0500274
1056.844,5.34665,,,,9.46213443,0.0534665,,,2.763991602,0.0496818
1058.773,5.40862,,,,9.444895176,0.0540862,,,2.765465312,0.0492861
1060.701,5.47265,,,,9.427727512,0.0547265,,,2.766941359,0.0491133
1062.63,5.53511,,,,9.41061329,0.0553511,,,2.768418984,0.0487432
1064.558,5.59296,,,,9.393569914,0.0559296,,,2.76989742,0.048321
1066.487,5.65927,,,,9.376579368,0.0565927,,,2.771378204,0.0478813
1068.416,5.71463,,,,9.359650174,0.0571463,,,2.772859803,0.0473205
1070.344,5.74855,,,,9.342790729,0.0574855,,,2.774343757,0.0470119
1072.273,5.76753,,,,9.325983215,0.0576753,,,2.775828529,0.047075
1074.201,5.76191,,,,9.309244732,0.0576191,,,2.777315663,0.0474814
1076.13,5.73758,,,,9.292557591,0.0573758,,,2.778803619,0.048031
